,Age,Attrition,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MonthlyIncome,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,WorkLifeBalance,YearsAtCompany
111,34,Churned,7,Bachelor's degree,Life Sciences,Low,Male,Low,Great,6074,24,Excellent,Excellent,80,Great,9
112,54,Stayed,26,Bachelor's degree,Human Resources,Excellent,Female,Excellent,Excellent,17328,12,Great,Great,80,Great,5
113,24,Stayed,18,Below College,Life Sciences,Good,Male,Great,Great,2774,12,Great,Great,80,Great,5
114,34,Stayed,6,Master's degree,Life Sciences,Great,Female,Good,Good,4505,15,Great,Great,80,Great,1
115,37,Stayed,3,Bachelor's degree,Life Sciences,Great,Male,Great,Excellent,7428,12,Great,Low,80,Great,5
116,34,Stayed,5,Bachelor's degree,Medical,Great,Female,Good,Low,11631,12,Great,Excellent,80,Great,11
117,36,Stayed,11,College,Technical Degree,Good,Female,Great,Excellent,9738,14,Great,Great,80,Great,9
118,36,Stayed,3,College,Life Sciences,Low,Female,Great,Excellent,2835,22,Excellent,Low,80,Great,1
119,43,Stayed,26,College,Life Sciences,Great,Male,Great,Excellent,16959,12,Great,Excellent,80,Excellent,25
120,30,Stayed,23,Bachelor's degree,Life Sciences,Low,Male,Low,Great,2613,25,Excellent,Great,80,Good,10
121,33,Stayed,22,College,Marketing,Great,Male,Great,Good,6146,13,Great,Low,80,Excellent,7
122,56,Churned,14,Master's degree,Life Sciences,Good,Female,Great,Good,4963,18,Great,Low,80,Great,5
123,51,Stayed,6,Bachelor's degree,Life Sciences,Low,Male,Great,Great,19537,13,Great,Great,80,Great,20
124,31,Churned,6,Master's degree,Life Sciences,Good,Male,Low,Great,6172,18,Great,Good,80,Good,7
125,26,Stayed,6,Bachelor's degree,Other,Great,Female,Good,Good,2368,19,Great,Great,80,Good,5
126,58,Churned,23,Master's degree,Medical,Excellent,Female,Great,Excellent,10312,12,Great,Excellent,80,Good,40
127,19,Churned,22,Below College,Marketing,Excellent,Male,Great,Great,1675,19,Great,Excellent,80,Good,0
128,22,Stayed,2,Below College,Technical Degree,Great,Male,Great,Excellent,2523,14,Great,Great,80,Great,2
129,49,Stayed,20,Master's degree,Medical,Great,Female,Great,Low,6567,14,Great,Great,80,Good,15
130,43,Stayed,28,Bachelor's degree,Medical,Good,Female,Excellent,Great,4739,12,Great,Excellent,80,Great,3
131,50,Stayed,12,Bachelor's degree,Marketing,Great,Female,Great,Excellent,9208,11,Great,Excellent,80,Great,2
132,31,Churned,20,Bachelor's degree,Life Sciences,Good,Female,Low,Great,4559,11,Great,Great,80,Great,2
133,41,Stayed,9,Below College,Life Sciences,Great,Male,Great,Great,8189,13,Great,Great,80,Great,9
134,26,Stayed,25,Below College,Life Sciences,Great,Female,Great,Great,2942,23,Excellent,Excellent,80,Great,8
135,36,Stayed,6,College,Medical,Good,Male,Great,Good,4941,20,Excellent,Excellent,80,Great,3
136,51,Churned,8,Master's degree,Life Sciences,Low,Male,Low,Excellent,10650,15,Great,Excellent,80,Great,4
137,39,Stayed,4,Master's degree,Life Sciences,Excellent,Female,Good,Great,5902,14,Great,Great,80,Excellent,15
138,25,Stayed,28,Bachelor's degree,Life Sciences,Low,Male,Good,Great,8639,18,Great,Excellent,80,Great,2
139,30,Stayed,9,Bachelor's degree,Human Resources,Great,Male,Great,Excellent,6347,19,Great,Excellent,80,Low,11
140,32,Churned,9,Bachelor's degree,Medical,Low,Female,Great,Low,4200,22,Excellent,Low,80,Excellent,5
141,45,Stayed,29,Bachelor's degree,Medical,Great,Male,Great,Excellent,3452,13,Great,Good,80,Good,6
142,38,Stayed,3,PhD,Technical Degree,Excellent,Female,Great,Great,4317,20,Excellent,Good,80,Great,3
143,30,Stayed,18,Bachelor's degree,Life Sciences,Low,Female,Great,Great,2632,14,Great,Great,80,Good,5
144,32,Stayed,9,College,Medical,Excellent,Male,Low,Excellent,4668,17,Great,Excellent,80,Excellent,8
145,30,Stayed,5,Bachelor's degree,Technical Degree,Excellent,Female,Great,Low,3204,14,Great,Excellent,80,Great,3
146,30,Stayed,2,Below College,Medical,Good,Male,Good,Excellent,2720,13,Great,Excellent,80,Great,5
147,41,Stayed,10,Bachelor's degree,Life Sciences,Excellent,Male,Good,Low,17181,13,Great,Good,80,Good,7
148,41,Stayed,9,Master's degree,Life Sciences,Great,Male,Great,Low,2238,21,Excellent,Excellent,80,Great,5
149,19,Stayed,3,Below College,Medical,Good,Female,Great,Good,1483,14,Great,Excellent,80,Great,1
150,40,Stayed,26,Bachelor's degree,Medical,Good,Female,Great,Good,5605,11,Great,Low,80,Great,20
151,35,Stayed,1,PhD,Marketing,Great,Male,Great,Good,7295,13,Great,Low,80,Great,10
152,53,Stayed,6,College,Marketing,Good,Male,Great,Great,2306,20,Excellent,Excellent,80,Low,7
153,45,Stayed,9,Bachelor's degree,Life Sciences,Good,Male,Great,Good,2348,18,Great,Great,80,Low,17
154,32,Stayed,8,Bachelor's degree,Marketing,Good,Female,Great,Excellent,8998,14,Great,Excellent,80,Great,9
155,29,Stayed,1,Below College,Technical Degree,Excellent,Male,Great,Great,4319,13,Great,Low,80,Great,10
156,51,Stayed,7,Master's degree,Medical,Good,Male,Good,Great,6132,17,Great,Great,80,Great,1
157,58,Stayed,9,Bachelor's degree,Medical,Good,Female,Good,Good,3346,20,Excellent,Good,80,Good,1
158,40,Stayed,4,Master's degree,Marketing,Great,Male,Good,Excellent,10855,11,Great,Low,80,Good,12
159,34,Stayed,2,Master's degree,Marketing,Great,Female,Great,Great,2231,18,Great,Excellent,80,Great,4
160,22,Stayed,19,Below College,Medical,Great,Male,Great,Excellent,2323,24,Excellent,Low,80,Great,2
161,27,Stayed,9,Bachelor's degree,Medical,Excellent,Male,Great,Good,2024,18,Great,Excellent,80,Low,2
162,28,Stayed,21,Bachelor's degree,Medical,Great,Male,Great,Excellent,2713,11,Great,Great,80,Low,5
163,57,Stayed,24,College,Life Sciences,Great,Male,Excellent,Excellent,9439,16,Great,Good,80,Low,5
164,27,Stayed,3,Bachelor's degree,Medical,Great,Male,Good,Great,2566,15,Great,Excellent,80,Good,1
165,50,Stayed,11,Bachelor's degree,Life Sciences,Great,Female,Great,Good,19926,15,Great,Good,80,Great,5
166,41,Stayed,14,Bachelor's degree,Life Sciences,Low,Male,Great,Great,2451,12,Great,Low,80,Great,9
167,30,Stayed,5,Bachelor's degree,Life Sciences,Good,Female,Great,Excellent,9419,12,Great,Great,80,Great,10
168,38,Stayed,1,Master's degree,Life Sciences,Low,Female,Good,Excellent,8686,22,Excellent,Great,80,Excellent,8
169,32,Stayed,6,PhD,Life Sciences,Great,Male,Great,Great,3038,20,Excellent,Low,80,Great,5
170,27,Stayed,17,Bachelor's degree,Technical Degree,Great,Male,Great,Good,3058,16,Great,Excellent,80,Good,5
171,19,Churned,1,Below College,Technical Degree,Great,Female,Low,Low,2325,21,Excellent,Low,80,Excellent,0
172,36,Stayed,3,College,Medical,Excellent,Male,Great,Good,2088,12,Great,Great,80,Good,8
173,30,Stayed,9,Bachelor's degree,Medical,Great,Male,Great,Low,3072,11,Great,Great,80,Great,12
174,45,Stayed,4,College,Life Sciences,Great,Female,Great,Low,5006,11,Great,Low,80,Excellent,5
175,56,Stayed,8,Bachelor's degree,Life Sciences,Great,Female,Great,Low,4257,18,Great,Great,80,Great,2
176,33,Stayed,2,Bachelor's degree,Life Sciences,Great,Male,Great,Excellent,2500,14,Great,Low,80,Excellent,3
177,19,Churned,2,Bachelor's degree,Life Sciences,Good,Male,Good,Excellent,1102,22,Excellent,Great,80,Good,1
178,46,Stayed,1,College,Marketing,Good,Female,Great,Low,10453,25,Excellent,Great,80,Great,24
179,38,Stayed,9,College,Life Sciences,Great,Female,Great,Excellent,2288,12,Great,Great,80,Great,2
180,31,Stayed,12,Below College,Medical,Great,Female,Great,Excellent,3929,23,Excellent,Great,80,Great,4
181,34,Stayed,27,College,Medical,Excellent,Female,Great,Good,2311,15,Great,Excellent,80,Great,3
182,41,Churned,20,College,Marketing,Good,Female,Great,Good,3140,22,Excellent,Excellent,80,Good,4
183,50,Stayed,1,Bachelor's degree,Medical,Great,Male,Good,Great,3690,15,Great,Excellent,80,Good,3
184,53,Stayed,13,College,Medical,Excellent,Female,Excellent,Low,4450,11,Great,Great,80,Great,4
185,33,Stayed,14,Bachelor's degree,Medical,Excellent,Female,Great,Good,2756,13,Great,Excellent,80,Great,8
186,40,Stayed,4,Below College,Medical,Excellent,Female,Great,Great,19033,14,Great,Good,80,Great,20
187,55,Stayed,14,Master's degree,Medical,Great,Male,Excellent,Good,18722,11,Great,Excellent,80,Great,24
188,34,Stayed,2,Below College,Life Sciences,Excellent,Male,Good,Great,9547,17,Great,Great,80,Good,10
189,51,Stayed,3,Bachelor's degree,Medical,Excellent,Female,Great,Good,13734,18,Great,Great,80,Great,7
190,52,Stayed,1,Master's degree,Life Sciences,Great,Male,Good,Great,19999,14,Great,Low,80,Great,33
191,27,Stayed,9,Bachelor's degree,Medical,Excellent,Female,Great,Good,2279,16,Great,Excellent,80,Good,7
192,35,Churned,23,College,Life Sciences,Good,Male,Good,Great,5916,13,Great,Low,80,Great,1
193,43,Stayed,7,Bachelor's degree,Medical,Excellent,Male,Excellent,Excellent,2089,14,Great,Excellent,80,Excellent,5
194,45,Stayed,2,College,Medical,Low,Male,Good,Excellent,16792,23,Excellent,Excellent,80,Great,20
195,37,Stayed,21,Bachelor's degree,Life Sciences,Good,Male,Excellent,Low,3564,12,Great,Low,80,Good,8
196,35,Stayed,2,Bachelor's degree,Medical,Good,Female,Great,Good,4425,11,Great,Excellent,80,Great,6
197,42,Stayed,21,College,Medical,Great,Female,Great,Great,5265,16,Great,Good,80,Great,5
198,38,Stayed,2,Master's degree,Life Sciences,Excellent,Male,Great,Great,6553,14,Great,Good,80,Great,1
199,38,Stayed,29,Bachelor's degree,Technical Degree,Excellent,Male,Great,Excellent,6261,18,Great,Low,80,Low,7
200,27,Stayed,1,Below College,Technical Degree,Great,Male,Good,Low,4298,19,Great,Great,80,Great,2
201,49,Stayed,18,Master's degree,Life Sciences,Excellent,Male,Great,Excellent,6804,15,Great,Low,80,Great,7
202,34,Stayed,10,Master's degree,Medical,Excellent,Male,Great,Great,3815,17,Great,Excellent,80,Excellent,5
203,40,Stayed,19,College,Medical,Great,Male,Great,Excellent,2741,15,Great,Great,80,Excellent,7
204,38,Churned,29,Below College,Medical,Good,Male,Great,Low,6673,19,Great,Good,80,Great,1
205,29,Churned,27,Bachelor's degree,Marketing,Good,Female,Great,Excellent,7639,22,Excellent,Excellent,80,Good,10
206,22,Stayed,5,Bachelor's degree,Life Sciences,Excellent,Male,Excellent,Good,2328,16,Great,Low,80,Good,4
207,36,Stayed,18,Below College,Medical,Good,Female,Great,Excellent,2153,13,Great,Low,80,Great,8
208,40,Stayed,9,PhD,Life Sciences,Excellent,Male,Good,Excellent,4876,14,Great,Excellent,80,Low,3
209,46,Stayed,1,Master's degree,Medical,Excellent,Male,Great,Low,9396,16,Great,Great,80,Great,4
210,32,Churned,4,Master's degree,Medical,Excellent,Male,Low,Excellent,10400,11,Great,Great,80,Good,14
211,30,Stayed,1,Below College,Life Sciences,Great,Male,Good,Great,8474,22,Excellent,Great,80,Great,11
212,27,Stayed,20,Bachelor's degree,Life Sciences,Excellent,Female,Great,Great,9981,14,Great,Excellent,80,Great,7
213,51,Stayed,8,Master's degree,Life Sciences,Good,Male,Good,Good,12490,16,Great,Excellent,80,Low,10
214,30,Churned,3,Bachelor's degree,Technical Degree,Excellent,Female,Great,Low,2657,11,Great,Great,80,Great,5
215,41,Stayed,6,Bachelor's degree,Life Sciences,Excellent,Female,Great,Excellent,13591,18,Great,Great,80,Great,1
216,30,Churned,26,Master's degree,Marketing,Great,Female,Good,Low,6696,15,Great,Great,80,Good,6
217,29,Churned,1,Bachelor's degree,Technical Degree,Great,Male,Great,Great,2058,14,Great,Excellent,80,Good,6
218,45,Stayed,6,Bachelor's degree,Medical,Excellent,Female,Good,Excellent,8865,12,Great,Excellent,80,Great,19
219,54,Stayed,3,Bachelor's degree,Marketing,Excellent,Female,Great,Low,5940,14,Great,Excellent,80,Great,6
220,36,Stayed,5,College,Life Sciences,Excellent,Male,Great,Good,5914,16,Great,Excellent,80,Excellent,13
221,33,Stayed,4,Master's degree,Medical,Great,Female,Good,Good,2622,21,Excellent,Excellent,80,Great,3
222,37,Stayed,11,Bachelor's degree,Other,Good,Male,Great,Excellent,12185,14,Great,Great,80,Great,10
223,38,Stayed,3,Bachelor's degree,Life Sciences,Low,Male,Great,Great,10609,12,Great,Great,80,Good,16
224,31,Stayed,1,Master's degree,Medical,Great,Male,Low,Great,4345,12,Great,Excellent,80,Great,5
225,59,Stayed,3,Bachelor's degree,Life Sciences,Great,Male,Good,Excellent,2177,17,Great,Low,80,Great,1
226,37,Stayed,4,Master's degree,Marketing,Low,Male,Great,Excellent,2793,17,Great,Great,80,Great,9
227,29,Stayed,1,Below College,Medical,Good,Female,Great,Excellent,7918,14,Great,Excellent,80,Great,11
228,35,Stayed,1,Bachelor's degree,Marketing,Great,Female,Great,Great,8789,14,Great,Low,80,Excellent,10
229,29,Churned,18,Below College,Medical,Great,Male,Good,Excellent,2389,13,Great,Great,80,Good,4
230,52,Stayed,2,Bachelor's degree,Life Sciences,Great,Female,Good,Excellent,3212,15,Great,Good,80,Good,2
231,42,Stayed,4,College,Technical Degree,Great,Male,Great,Excellent,19232,11,Great,Excellent,80,Great,22
232,59,Stayed,6,College,Medical,Good,Male,Great,Great,2267,17,Great,Excellent,80,Good,2
233,50,Stayed,1,Master's degree,Medical,Excellent,Female,Great,Excellent,19517,11,Great,Great,80,Good,7
234,33,Churned,14,Bachelor's degree,Medical,Great,Male,Great,Excellent,2436,13,Great,Great,80,Low,5
235,43,Stayed,16,Bachelor's degree,Marketing,Excellent,Female,Great,Excellent,16064,22,Excellent,Great,80,Great,17
236,33,Churned,2,College,Life Sciences,Low,Female,Great,Low,2707,20,Excellent,Low,80,Excellent,9
237,52,Stayed,2,Master's degree,Life Sciences,Low,Male,Good,Great,19068,18,Great,Excellent,80,Excellent,33
238,32,Stayed,4,College,Life Sciences,Great,Female,Great,Good,3931,11,Great,Low,80,Great,4
239,32,Churned,1,Bachelor's degree,Life Sciences,Excellent,Male,Good,Great,3730,14,Great,Excellent,80,Low,3
240,39,Stayed,1,Master's degree,Medical,Great,Female,Great,Great,2232,14,Great,Great,80,Great,3
241,32,Stayed,26,Master's degree,Marketing,Great,Male,Great,Excellent,4465,18,Great,Low,80,Great,3
242,41,Stayed,19,College,Life Sciences,Great,Male,Great,Low,3072,16,Great,Low,80,Good,1
243,40,Stayed,24,College,Technical Degree,Low,Male,Great,Excellent,3319,17,Great,Low,80,Great,9
244,45,Stayed,1,Bachelor's degree,Other,Great,Male,Excellent,Excellent,19202,11,Great,Great,80,Great,24
245,31,Stayed,3,Master's degree,Medical,Good,Male,Great,Great,13675,12,Great,Low,80,Great,2
246,33,Stayed,5,Master's degree,Life Sciences,Great,Female,Good,Excellent,2911,13,Great,Great,80,Good,2
247,34,Stayed,2,Master's degree,Life Sciences,Excellent,Male,Good,Low,5957,13,Great,Good,80,Great,11
248,37,Stayed,1,College,Medical,Great,Female,Good,Low,3920,14,Great,Low,80,Good,3
